RSCI,Name_URL,URL,Player,URL2,college_nan,URL3,College,from,to,WS,m1,m2,m3,m4,m5,m6
11,Marques Bolden (college),https://www.basketball-reference.com/players/b/boldema01.html,Marques Bolden,https://www.sports-reference.com/cbb/players/marques-bolden-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2020,2020,0.0,12,16,8,11,7,15
12,Terrance Ferguson,https://www.basketball-reference.com/players/f/fergute01.html,Terrance Ferguson,,,,,2018,2020,4.6,15,11,16,14,10,16
13,Wenyen Gabriel (college),https://www.basketball-reference.com/players/g/gabriwe01.html,Wenyen Gabriel,https://www.sports-reference.com/cbb/players/wenyen-gabriel-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2020,2020,0.2,17,14,12,13,19,14
14,Frank Jackson (college),https://www.basketball-reference.com/players/j/jacksfr01.html,Frank Jackson,https://www.sports-reference.com/cbb/players/frank-jackson-2.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2019,2020,0.6,14,10,18,12,24,13
15,Jarrett Allen (college),https://www.basketball-reference.com/players/a/allenja01.html,Jarrett Allen,https://www.sports-reference.com/cbb/players/jarrett-allen-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=texas,Texas,2018,2020,20.0,16,15,15,15,14,17
16,TJ Leaf (college),https://www.basketball-reference.com/players/l/leaftj01.html,TJ Leaf,https://www.sports-reference.com/cbb/players/tj-leaf-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=ucla,UCLA,2018,2020,2.7,13,13,22,16,11,18
17,Omari Spellman (college),https://www.basketball-reference.com/players/s/spellom01.html,Omari Spellman,https://www.sports-reference.com/cbb/players/omari-spellman-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=villanova,Villanova,2019,2020,2.4,19,18,21,18,15,19
18,Mustapha Heron (college),https://www.sports-reference.com/cbb/players/mustapha-heron-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=auburn,Auburn,,,,20,25,25,19,27,23
19,Tony Bradley (college),https://www.basketball-reference.com/players/b/bradlto01.html,Tony Bradley,https://www.sports-reference.com/cbb/players/tony-bradley-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=unc,UNC,2018,2020,3.4,23,17,26,27,22,26
RSCI,,,,,,,,,,,,,,,,
20,Joshua Langford (college),https://www.sports-reference.com/cbb/players/joshua-langford-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=michiganst,Michigan State,,,,21,19,24,20,38,20
